experiment,day,algae,rotifers,egg_ratio,eggs,dead,medium_N
2,20.0,0.35,21.07,0.11,2.41,0.0,80.0
2,21.0,0.24,20.47,0.06,1.2,0.6,80.0
2,22.0,0.46,22.07,0.25,5.62,0.2,80.0
2,23.0,1.03,16.86,0.38,6.42,0.4,80.0
2,24.0,0.49,24.28,0.1,2.41,0.4,80.0
2,25.0,0.31,14.65,0.14,2.01,0.4,80.0
2,26.0,0.66,6.82,0.44,3.01,0.4,80.0
2,27.0,0.77,10.43,0.5,5.22,0.4,80.0
2,28.0,0.56,27.29,0.11,3.01,0.4,80.0
2,29.0,0.18,39.73,0.09,3.61,0.8,80.0
2,30.0,0.22,21.67,0.07,1.61,1.0,80.0
2,31.0,0.46,7.22,0.75,5.42,0.4,80.0
2,32.0,0.74,10.03,0.3,3.01,0.6,80.0
2,33.0,0.66,15.05,0.2,3.01,0.2,80.0
2,34.0,0.56,7.63,0.24,1.81,0.4,80.0
2,35.0,0.76,22.07,0.36,8.03,0.4,80.0
2,36.0,0.43,24.88,0.15,3.61,0.2,80.0
2,37.0,0.48,23.48,0.22,5.22,0.6,80.0
2,38.0,0.75,13.44,0.25,3.41,0.2,80.0
2,39.0,0.45,16.66,0.06,1.0,0.2,80.0
2,40.0,0.36,10.23,0.24,2.41,0.6,80.0
2,41.0,0.55,5.82,0.52,3.01,0.0,80.0
2,42.0,0.85,12.24,0.8,9.83,0.0,80.0
2,43.0,0.64,40.33,0.28,11.24,0.2,80.0
2,44.0,0.45,48.96,0.16,7.63,0.6,80.0
2,45.0,0.5,21.47,0.07,1.4,0.4,80.0
2,46.0,0.61,14.05,0.29,4.01,0.4,80.0
2,47.0,0.57,12.44,0.34,4.21,0.6,80.0
2,48.0,0.5,12.04,0.2,2.41,0.0,80.0
2,49.0,0.66,10.64,0.53,5.62,0.4,80.0
2,50.0,0.79,13.65,0.21,2.81,0.0,80.0
2,51.0,0.9,24.68,0.41,10.03,0.6,80.0
2,52.0,0.49,20.47,0.09,1.81,0.8,80.0
2,53.0,0.57,16.25,0.25,4.01,0.8,80.0
2,54.0,0.69,15.25,0.32,4.82,0.4,80.0
2,55.0,0.63,19.47,0.36,7.02,0.8,80.0
2,56.0,1.05,38.93,0.45,17.46,0.4,80.0
2,57.0,0.43,32.91,0.09,3.01,0.8,80.0
2,58.0,0.44,19.67,0.13,2.61,0.4,80.0
2,59.0,0.51,26.49,0.28,7.42,0.6,80.0
2,60.0,0.6,16.86,0.3,5.02,0.8,80.0
2,61.0,0.42,10.64,0.11,1.2,0.4,80.0
2,62.0,0.44,24.68,0.27,6.62,0.8,80.0
2,63.0,0.53,20.87,0.37,7.63,0.4,80.0
2,64.0,0.83,32.31,0.32,10.43,0.6,80.0
2,65.0,0.6,36.32,0.18,6.62,0.0,80.0
2,66.0,0.25,21.67,0.04,0.8,0.6,80.0
2,67.0,0.28,7.83,0.1,0.8,1.0,80.0
2,68.0,0.35,3.21,0.25,0.8,0.8,80.0
2,69.0,0.65,11.84,0.39,4.62,0.6,80.0
2,70.0,0.8,10.64,0.26,2.81,0.2,80.0
2,71.0,0.69,31.1,0.26,8.23,0.0,80.0
2,72.0,0.98,32.11,0.42,13.65,0.2,80.0
2,73.0,0.95,42.54,0.59,25.28,2.61,80.0
2,74.0,0.29,28.29,0.02,0.6,1.4,80.0
2,75.0,0.26,8.03,0.03,0.2,1.2,80.0
2,76.0,0.42,7.42,0.41,3.01,0.6,80.0
2,77.0,0.61,4.01,0.75,3.01,0.0,80.0
2,78.0,1.23,6.82,0.41,2.81,0.6,80.0
2,79.0,1.14,29.9,0.5,15.05,0.4,80.0
2,80.0,0.59,30.7,0.22,6.62,0.4,80.0
2,81.0,0.51,21.47,0.16,3.41,0.4,80.0
2,82.0,0.51,15.45,0.26,4.01,0.4,80.0
2,83.0,0.36,25.28,0.39,9.83,0.0,80.0
2,84.0,0.83,33.11,0.52,17.26,0.6,80.0
2,85.0,1.08,34.11,0.71,24.08,1.0,80.0
2,86.0,0.22,30.1,0.1,3.01,1.2,80.0
2,87.0,0.39,13.65,0.21,2.81,1.61,80.0
2,88.0,0.56,17.26,0.24,4.21,0.4,80.0
2,89.0,0.7,14.05,0.37,5.22,0.8,80.0
2,90.0,0.62,22.27,0.23,5.22,0.6,80.0
2,91.0,0.61,21.47,0.37,8.03,0.6,80.0
2,92.0,0.64,21.27,0.36,7.63,0.2,80.0
2,93.0,1.03,16.05,0.59,9.43,0.4,80.0
2,94.0,0.35,25.49,0.09,2.21,0.4,80.0
2,95.0,0.41,9.43,0.53,5.02,0.8,80.0
2,96.0,0.68,12.64,0.37,4.62,0.4,80.0
2,97.0,0.74,13.85,0.36,5.02,0.8,80.0
2,98.0,0.76,24.88,0.36,9.03,0.6,80.0
2,99.0,0.75,32.51,1.01,32.91,1.0,80.0
2,100.0,0.52,29.5,0.16,4.82,0.8,80.0
2,101.0,1.76,25.28,1.1,27.69,1.4,80.0
2,102.0,0.73,40.54,0.22,9.03,0.6,80.0
2,103.0,0.24,22.68,0.12,2.81,1.0,80.0
2,104.0,0.47,7.22,0.89,6.42,2.21,80.0
2,105.0,0.84,17.66,0.57,10.03,0.8,80.0
2,106.0,0.59,16.05,0.21,3.41,0.4,80.0
2,107.0,1.47,17.86,1.09,19.47,1.61,80.0
2,108.0,0.44,28.09,0.09,2.41,1.0,80.0
2,109.0,0.26,12.44,0.03,0.4,0.8,80.0
2,110.0,0.35,3.61,0.5,1.81,0.6,80.0
2,111.0,0.42,3.21,0.88,2.81,0.4,80.0
2,112.0,0.82,7.63,0.68,5.22,0.6,80.0
2,113.0,1.1,10.64,0.64,6.82,0.4,80.0
2,114.0,0.73,23.68,0.31,7.42,0.8,80.0
2,115.0,0.4,16.66,0.16,2.61,0.4,80.0
2,116.0,1.03,15.85,0.58,9.23,1.4,80.0
2,117.0,0.66,25.28,0.32,8.03,0.8,80.0
2,118.0,0.33,18.66,0.17,3.21,0.8,80.0
2,119.0,0.84,17.06,1.0,17.06,0.6,80.0
2,120.0,0.46,34.52,0.1,3.61,0.4,80.0
2,121.0,0.56,10.84,0.52,5.62,1.0,80.0
2,122.0,0.85,12.64,0.79,10.03,0.8,80.0
2,123.0,0.71,19.06,0.54,10.23,0.2,80.0
2,124.0,0.3,12.24,0.08,1.0,0.8,80.0
2,125.0,0.39,10.84,0.72,7.83,0.6,80.0
2,126.0,0.7,13.65,0.81,11.04,0.4,80.0
2,127.0,1.12,22.27,0.87,19.47,1.0,80.0
2,128.0,0.44,36.52,0.08,2.81,0.8,80.0
2,129.0,0.4,16.45,0.24,4.01,1.61,80.0
2,130.0,0.3,12.84,0.25,3.21,2.21,80.0
2,131.0,0.48,13.65,0.46,6.22,0.4,80.0
2,132.0,0.62,18.66,0.88,16.45,0.6,80.0
2,133.0,1.85,,,,,80.0
2,134.0,0.36,50.77,0.11,5.42,1.2,80.0
2,135.0,0.15,17.26,0.02,0.4,0.4,80.0
2,136.0,0.33,6.42,0.91,5.82,0.8,80.0
2,137.0,0.85,12.44,1.06,13.24,0.6,80.0
2,138.0,0.34,22.48,0.14,3.21,0.8,80.0
2,139.0,0.4,11.84,0.17,2.01,1.2,80.0
2,140.0,0.4,21.87,0.38,8.23,2.81,80.0
2,141.0,0.33,20.27,0.66,13.44,0.6,80.0
2,142.0,0.32,19.87,0.22,4.41,1.0,80.0
2,143.0,0.39,17.06,0.53,9.03,2.21,80.0
2,144.0,0.46,9.03,0.58,5.22,2.21,80.0
2,145.0,0.46,8.23,0.59,4.82,1.2,80.0
2,146.0,0.46,17.46,0.55,9.63,1.4,80.0
2,147.0,0.49,19.87,0.42,8.43,1.0,80.0
2,148.0,0.47,15.85,0.42,6.62,2.61,80.0
2,149.0,1.23,20.07,0.58,11.64,0.8,80.0
2,150.0,0.46,32.31,0.23,7.42,1.61,80.0
2,151.0,0.83,24.28,0.61,14.85,2.81,80.0
2,152.0,0.22,18.46,0.05,1.0,1.0,80.0
2,153.0,0.2,12.64,0.79,10.03,0.8,80.0
2,154.0,0.21,4.21,0.76,3.21,1.0,80.0
2,155.0,0.75,2.81,1.43,4.01,0.4,80.0
2,156.0,0.64,6.42,1.31,8.43,0.6,80.0
2,157.0,1.32,9.23,0.39,3.61,0.2,80.0
2,158.0,0.54,31.71,0.29,9.23,4.21,80.0
2,159.0,,,,,,80.0
2,160.0,0.38,11.24,0.48,5.42,3.61,80.0
2,161.0,0.8,10.64,0.53,5.62,0.6,80.0
2,162.0,1.01,8.83,1.41,12.44,0.6,80.0
2,163.0,0.47,23.88,0.39,9.23,0.0,80.0
2,164.0,0.36,14.45,0.36,5.22,0.0,80.0
2,165.0,0.32,9.83,0.18,1.81,0.6,80.0
2,166.0,0.41,8.83,0.8,7.02,0.8,80.0
2,167.0,0.74,14.25,0.72,10.23,0.6,80.0
2,168.0,0.64,23.88,0.51,12.24,1.4,80.0
2,169.0,0.56,28.09,0.48,13.44,1.2,80.0
2,170.0,0.46,1.4,0.43,0.6,1.2,80.0
2,171.0,0.71,5.42,0.26,1.4,0.8,80.0
2,172.0,0.53,15.25,0.21,3.21,1.81,80.0
2,173.0,0.3,10.03,0.04,0.4,1.2,80.0
2,174.0,0.26,11.84,0.08,1.0,0.6,80.0
2,175.0,0.62,7.22,0.33,2.41,1.2,80.0
2,176.0,0.77,12.44,0.6,7.42,0.8,80.0
2,177.0,0.74,4.01,0.35,1.4,0.6,80.0
2,178.0,0.29,19.06,0.16,3.01,0.8,80.0
2,179.0,0.39,9.23,0.52,4.82,1.4,80.0
2,180.0,0.41,11.44,0.16,1.81,1.4,80.0
2,181.0,1.04,11.04,0.16,1.81,1.4,80.0
2,182.0,0.44,9.23,0.11,1.0,2.41,80.0
2,183.0,0.21,14.45,0.07,1.0,1.0,80.0
2,184.0,0.11,5.82,0.17,1.0,0.6,80.0
2,185.0,0.42,5.62,0.64,3.61,1.0,80.0
2,186.0,0.45,6.02,0.4,2.41,0.2,80.0
2,187.0,0.37,12.44,0.29,3.61,0.0,80.0
2,188.0,0.53,8.03,0.35,2.81,0.8,80.0
2,189.0,0.44,5.02,0.28,1.4,0.2,80.0
3,0.0,1.23,7.42,0.03,0.2,0.0,80.0
3,1.03,0.63,,,,,80.0
3,2.18,0.12,15.65,0.23,3.61,0.0,80.0
3,3.21,0.58,16.86,0.02,0.4,0.0,80.0
3,4.03,0.28,7.83,0.67,5.22,0.8,80.0
3,5.06,0.17,12.84,0.09,1.2,0.4,80.0
3,6.03,0.22,15.65,0.05,0.8,0.0,80.0
3,6.98,0.41,14.25,0.2,2.81,0.0,80.0
3,8.0,0.15,22.07,0.06,1.4,0.8,80.0
3,9.09,0.19,26.89,0.02,0.6,0.8,80.0
3,10.15,0.54,16.05,0.45,7.22,1.0,80.0
3,10.99,0.3,30.9,0.31,9.63,0.8,80.0
3,12.01,0.22,20.27,0.1,2.01,0.0,80.0
3,13.06,0.34,20.07,0.49,9.83,3.01,80.0
3,14.02,0.26,25.69,0.02,0.6,1.0,80.0
3,15.0,0.77,21.67,0.83,18.06,1.4,80.0
3,16.09,0.34,31.91,0.19,6.22,3.61,80.0
3,17.06,0.23,20.87,0.04,0.8,2.61,80.0
3,17.99,0.84,12.24,0.69,8.43,2.81,80.0
3,19.02,0.91,22.88,0.91,20.87,4.21,80.0
3,20.01,0.26,38.73,0.04,1.61,1.81,80.0
3,21.02,0.36,11.24,0.27,3.01,4.21,80.0
3,22.09,0.35,28.9,0.5,14.45,0.8,80.0
3,23.27,0.41,43.95,0.28,12.24,0.4,80.0
3,24.13,0.24,29.5,0.2,6.02,1.81,80.0
3,25.0,0.21,21.27,0.19,4.01,1.2,80.0
3,26.03,0.25,29.9,0.29,8.63,2.21,80.0
3,27.13,0.31,30.1,0.24,7.22,5.02,80.0
3,28.09,0.32,28.7,0.27,7.63,2.21,80.0
3,29.02,0.28,19.87,0.19,3.81,1.0,80.0
3,30.25,0.11,37.73,0.17,6.42,2.61,80.0
3,30.99,0.28,25.89,0.08,2.01,3.01,80.0
3,32.04,0.27,12.04,1.23,14.85,3.61,80.0
3,33.01,0.25,25.69,0.17,4.41,1.4,80.0
3,34.01,0.11,19.26,0.11,2.21,1.2,80.0
3,35.07,0.44,5.42,0.41,2.21,1.61,80.0
3,36.02,0.14,10.23,0.22,2.21,0.4,80.0
3,37.06,0.3,16.25,0.3,4.82,2.61,80.0
3,38.17,0.38,15.25,0.33,5.02,1.81,80.0
3,39.01,0.29,16.86,0.05,0.8,2.01,80.0
3,40.02,0.47,23.88,0.29,6.82,1.4,80.0
3,41.03,0.46,20.07,0.27,5.42,2.21,80.0
3,42.07,0.46,18.26,0.2,3.61,2.01,80.0
3,43.02,0.52,9.43,0.3,2.81,2.01,80.0
3,44.13,0.51,19.47,0.4,7.83,2.21,80.0
3,45.13,0.4,19.87,0.24,4.82,1.2,80.0
3,46.22,0.43,11.64,0.45,5.22,1.0,80.0
3,47.0,0.61,26.89,0.36,9.63,1.61,80.0
3,48.01,0.36,40.74,0.32,12.84,0.4,80.0
3,48.98,0.18,34.72,0.09,3.21,0.0,80.0
3,50.01,0.18,18.26,0.15,2.81,0.2,80.0
3,51.26,0.2,9.83,0.2,2.01,,80.0
3,52.13,0.28,7.22,0.11,0.8,0.4,80.0
3,52.99,0.82,5.02,0.44,2.21,2.21,80.0
3,54.03,0.38,10.23,0.59,6.02,0.4,80.0
3,55.0,0.39,15.25,0.49,7.42,0.0,80.0
3,56.17,0.27,30.7,0.14,4.21,0.4,80.0
3,57.11,0.31,28.7,0.08,2.21,0.0,80.0
3,58.18,0.4,16.25,0.14,2.21,0.8,80.0
3,59.11,0.24,8.83,0.05,0.4,1.61,80.0
3,60.05,0.23,2.61,0.46,1.2,0.4,80.0
3,60.99,0.53,10.23,0.59,6.02,1.2,80.0
3,62.05,1.13,18.26,0.87,15.85,4.41,80.0
3,63.03,0.67,42.94,0.21,8.83,1.4,80.0
3,64.02,0.36,36.72,0.18,6.62,2.61,80.0
3,65.09,0.23,26.89,0.14,3.81,1.81,80.0
3,66.15,0.16,13.44,0.06,0.8,2.21,80.0
3,67.02,0.25,4.41,0.55,2.41,1.0,80.0
3,67.98,0.93,6.62,0.7,4.62,9.03,80.0
3,68.95,0.94,11.24,0.57,6.42,4.21,80.0
3,69.99,0.71,28.5,0.23,6.62,0.4,80.0
3,71.0,0.41,24.48,0.2,5.02,1.4,80.0
3,72.09,0.46,27.89,0.29,8.03,7.02,80.0
3,72.96,0.32,19.67,0.07,1.4,4.01,80.0
3,73.95,0.3,9.63,0.19,1.81,3.81,80.0
3,74.99,0.59,,,,,80.0
3,75.99,0.83,15.25,0.88,13.44,5.02,80.0
3,77.0,0.6,22.27,0.26,5.82,2.01,80.0
3,78.04,0.46,20.67,0.24,5.02,,80.0
3,78.96,0.25,10.64,0.21,2.21,,80.0
3,80.07,0.52,13.24,0.62,8.23,,80.0
3,80.99,0.4,13.24,0.15,2.01,,80.0
3,82.01,0.72,18.26,0.29,5.22,0.6,80.0
3,83.0,0.68,27.09,0.21,5.82,1.0,80.0
3,84.03,0.3,21.47,0.03,0.6,1.4,80.0
3,85.02,0.29,9.23,0.07,0.6,1.0,80.0
3,85.99,0.44,10.43,0.46,4.82,1.2,80.0
3,87.08,0.29,12.64,0.14,1.81,0.6,80.0
3,88.01,0.3,11.84,0.29,3.41,3.21,80.0
3,89.03,1.23,9.63,0.27,2.61,0.4,80.0
3,90.04,0.69,21.27,0.42,8.83,0.4,80.0
3,91.0,0.53,27.49,0.16,4.41,0.4,80.0
3,92.07,0.44,26.49,0.21,5.62,1.4,80.0
3,93.1,0.5,23.08,0.23,5.22,0.6,80.0
3,94.13,2.12,15.85,0.25,4.01,1.81,80.0
3,95.13,0.79,29.1,0.14,4.01,2.01,80.0
3,96.01,0.24,26.89,0.09,2.41,0.6,80.0
3,97.07,0.51,5.22,0.54,2.81,3.61,80.0
3,98.05,0.58,17.26,0.47,8.03,2.61,80.0
3,99.04,0.5,26.89,0.34,9.23,1.2,80.0
3,100.09,0.63,30.9,0.18,5.62,1.2,80.0
3,101.15,0.27,20.47,0.03,0.6,1.61,80.0
3,102.02,0.27,8.83,0.07,0.6,0.6,80.0
3,103.06,0.95,9.03,0.2,1.81,1.2,80.0
3,104.02,0.96,17.66,0.39,6.82,1.0,80.0
3,105.02,0.5,48.16,0.16,7.83,1.0,80.0
3,105.99,0.28,35.32,0.1,3.41,0.4,80.0
3,107.09,0.39,14.65,0.16,2.41,0.8,80.0
3,108.24,0.36,19.67,0.18,3.61,0.4,80.0
3,109.01,0.42,5.42,0.19,1.0,0.4,80.0
3,109.99,0.44,1.61,0.5,0.8,0.4,80.0
3,110.98,0.74,20.27,0.51,10.43,2.81,80.0
3,112.02,0.51,25.28,0.27,6.82,0.8,80.0
3,113.0,0.22,33.71,0.06,2.01,0.6,80.0
3,114.27,0.33,14.45,0.19,2.81,1.2,80.0
3,115.07,0.36,25.49,0.15,3.81,1.4,80.0
3,116.01,0.33,11.24,0.21,2.41,0.8,80.0
3,117.01,0.43,15.65,0.21,3.21,1.61,80.0
3,118.02,0.32,6.02,0.07,0.4,0.8,80.0
3,119.0,0.31,18.06,0.23,4.21,2.81,80.0
3,120.02,0.21,10.64,0.09,1.0,,80.0
3,121.13,0.47,15.25,0.28,4.21,0.6,80.0
3,122.17,0.32,9.63,0.19,1.81,0.6,80.0
3,123.02,0.3,6.62,0.21,1.4,0.8,80.0
3,123.99,0.47,7.63,0.47,3.61,1.0,80.0
3,125.01,0.74,8.03,0.33,2.61,1.0,80.0
3,126.01,0.36,34.72,0.16,5.42,0.4,80.0
3,127.01,0.27,7.83,0.15,1.2,1.2,80.0
3,128.09,0.44,14.25,0.34,4.82,1.2,80.0
3,129.31,0.36,22.27,0.11,2.41,1.61,80.0
3,130.0,0.27,15.45,0.12,1.81,0.4,80.0
3,131.0,0.28,5.62,0.25,1.4,0.8,80.0
3,131.99,0.18,7.63,0.13,1.0,0.6,80.0
3,133.05,0.48,8.03,0.35,2.81,1.2,80.0
3,133.99,0.61,18.06,0.34,6.22,0.8,80.0
3,135.01,0.64,25.49,0.28,7.22,0.8,80.0
3,136.15,0.36,18.86,0.05,1.0,0.6,80.0
3,137.02,0.51,15.25,0.37,5.62,0.8,80.0
3,138.02,0.63,14.25,0.17,2.41,1.2,80.0
3,138.98,0.58,24.28,0.26,6.22,0.4,80.0
3,140.06,0.36,24.88,0.14,3.41,1.0,80.0
3,140.95,0.23,11.64,0.22,2.61,1.2,80.0
3,142.09,0.51,9.43,0.38,3.61,0.4,80.0
3,143.17,0.31,10.43,0.04,0.4,0.4,80.0
3,144.01,0.61,6.02,0.2,1.2,0.0,80.0
3,145.02,0.3,6.22,0.29,1.81,0.0,80.0
3,146.05,0.5,7.22,0.33,2.41,0.0,80.0
3,147.04,1.48,11.44,0.09,1.0,0.4,80.0
3,147.97,0.45,13.65,0.09,1.2,0.0,80.0
3,149.09,0.39,14.85,0.18,2.61,0.0,80.0
3,150.02,0.27,17.26,0.13,2.21,0.0,80.0
3,151.0,0.51,12.84,0.2,2.61,0.0,80.0
3,152.01,0.43,25.08,0.16,4.01,0.4,80.0
3,153.0,0.26,16.66,0.07,1.2,0.6,80.0
3,153.98,0.17,17.86,0.09,1.61,0.4,80.0
3,155.04,0.24,5.02,0.28,1.4,6.42,80.0
3,156.13,0.29,4.41,0.32,1.4,0.0,80.0
3,157.19,0.32,8.43,0.19,1.61,0.4,80.0
3,158.01,0.26,4.41,0.18,0.8,0.2,80.0
3,159.06,0.31,4.21,0.19,0.8,0.0,80.0
3,159.99,0.33,0.4,1.0,0.4,1.0,80.0
3,161.02,0.42,11.84,0.37,4.41,0.4,80.0
3,162.0,0.39,26.09,0.16,4.21,0.0,80.0
3,163.34,0.26,28.7,0.13,3.81,0.0,80.0
3,164.43,0.17,4.41,0.09,0.4,0.0,80.0
3,164.99,0.34,9.23,0.17,1.61,1.0,80.0
3,166.03,0.45,11.44,0.28,3.21,0.6,80.0
3,167.06,0.43,11.44,0.44,5.02,0.0,80.0
3,168.0,0.37,18.26,0.24,4.41,0.8,80.0
3,169.0,0.4,18.46,0.18,3.41,0.4,80.0
3,170.14,0.31,23.08,0.15,3.41,0.2,80.0
3,171.12,0.1,13.24,0.14,1.81,0.0,80.0
3,172.0,0.25,5.62,0.14,0.8,1.61,80.0
3,172.97,0.3,6.42,0.44,2.81,0.6,80.0
3,174.0,0.27,3.41,0.35,1.2,0.2,80.0
3,175.05,0.35,1.4,0.14,0.2,0.0,80.0
3,176.04,0.39,10.23,0.33,3.41,0.4,80.0
3,177.24,0.24,14.45,0.08,1.2,0.0,80.0
3,178.06,0.17,13.04,0.08,1.0,0.0,80.0
3,178.98,0.33,10.03,0.06,0.6,0.4,80.0
3,180.05,0.32,8.63,0.21,1.81,0.0,80.0
3,181.04,0.2,9.63,0.25,2.41,0.0,80.0
4,0.0,1.54,11.04,0.02,0.2,0.0,80.0
4,0.94,1.65,7.02,0.49,3.41,0.8,80.0
4,2.2,1.51,10.03,0.74,7.42,1.61,80.0
4,3.15,1.07,20.67,1.01,20.87,1.81,80.0
4,4.1,0.46,32.31,0.22,7.22,4.21,80.0
4,4.97,0.36,14.45,0.35,5.02,5.22,80.0
4,5.94,0.95,14.05,0.67,9.43,2.01,80.0
4,6.99,1.22,18.06,0.92,16.66,1.61,80.0
4,7.98,0.69,30.3,0.37,11.24,0.8,80.0
4,9.01,0.25,13.65,0.18,2.41,2.61,80.0
4,9.95,0.49,11.44,0.4,4.62,2.81,80.0
4,11.1,1.11,12.04,0.37,4.41,0.4,80.0
4,12.01,1.18,14.05,0.56,7.83,0.4,80.0
4,12.97,0.91,22.68,0.52,11.84,0.6,80.0
4,13.95,0.34,25.89,0.18,4.62,0.8,80.0
4,14.98,0.29,12.24,0.48,5.82,1.2,80.0
4,16.0,0.58,16.86,0.36,6.02,0.0,80.0
4,17.17,1.37,17.26,0.53,9.23,2.41,80.0
4,18.07,0.7,30.3,0.34,10.43,5.22,80.0
4,18.98,0.25,23.48,0.09,2.21,2.81,80.0
4,20.07,0.58,9.43,0.62,5.82,1.61,80.0
4,21.0,0.7,11.04,0.67,7.42,3.21,80.0
4,21.94,0.76,13.24,0.73,9.63,1.2,80.0
4,22.95,1.0,13.04,0.4,5.22,3.01,80.0
4,24.17,0.98,14.85,0.59,8.83,2.41,80.0
4,24.94,0.85,18.06,0.17,3.01,2.81,80.0
4,25.94,1.13,15.45,0.32,5.02,1.0,80.0
4,26.98,1.46,10.64,0.58,6.22,2.21,80.0
4,27.98,1.57,17.86,0.47,8.43,1.61,80.0
4,28.95,1.49,23.68,0.24,5.62,0.2,80.0
4,30.09,0.63,34.31,0.28,9.63,3.41,80.0
4,31.17,0.54,15.65,0.27,4.21,1.61,80.0
4,32.37,0.7,23.48,0.41,9.63,1.4,80.0
4,32.98,0.84,29.9,0.65,19.47,3.41,80.0
4,33.95,0.99,33.91,0.62,21.07,3.01,80.0
4,34.97,1.91,54.98,0.62,34.11,5.82,80.0
4,36.0,0.38,53.18,0.16,8.43,4.62,80.0
4,37.02,0.17,52.58,0.02,1.2,3.81,80.0
4,38.0,0.15,11.64,0.1,1.2,5.22,80.0
4,39.03,0.72,9.23,0.22,2.01,2.21,80.0
4,39.94,0.56,7.83,0.69,5.42,1.61,80.0
4,40.95,1.28,9.03,0.56,5.02,2.01,80.0
4,41.94,1.04,14.85,0.68,10.03,1.0,80.0
4,42.97,1.15,25.69,0.66,17.06,1.0,80.0
4,44.12,0.54,34.31,0.23,8.03,2.01,80.0
4,45.08,0.4,26.89,0.25,6.82,1.2,80.0
4,46.12,0.5,17.66,0.13,2.21,1.0,80.0
